Sample in Buffer,Sample in Window,TRIGGER,count[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,4015630872
1,1,0,4015630873
2,2,0,4015630874
3,3,0,4015630875
4,4,0,4015630876
5,5,0,4015630877
6,6,0,4015630878
7,7,0,4015630879
8,8,0,4015630880
9,9,0,4015630881
10,10,0,4015630882
11,11,0,4015630883
12,12,0,4015630884
13,13,0,4015630885
14,14,0,4015630886
15,15,0,4015630887
16,16,0,4015630888
17,17,0,4015630889
18,18,0,4015630890
19,19,0,4015630891
20,20,0,4015630892
21,21,0,4015630893
22,22,0,4015630894
23,23,0,4015630895
24,24,0,4015630896
25,25,0,4015630897
26,26,0,4015630898
27,27,0,4015630899
28,28,0,4015630900
29,29,0,4015630901
30,30,0,4015630902
31,31,0,4015630903
32,32,0,4015630904
33,33,0,4015630905
34,34,0,4015630906
35,35,0,4015630907
36,36,0,4015630908
37,37,0,4015630909
38,38,0,4015630910
39,39,0,4015630911
40,40,0,4015630912
41,41,0,4015630913
42,42,0,4015630914
43,43,0,4015630915
44,44,0,4015630916
45,45,0,4015630917
46,46,0,4015630918
47,47,0,4015630919
48,48,0,4015630920
49,49,0,4015630921
50,50,0,4015630922
51,51,0,4015630923
52,52,0,4015630924
53,53,0,4015630925
54,54,0,4015630926
55,55,0,4015630927
56,56,0,4015630928
57,57,0,4015630929
58,58,0,4015630930
59,59,0,4015630931
60,60,0,4015630932
61,61,0,4015630933
62,62,0,4015630934
63,63,0,4015630935
64,64,0,4015630936
65,65,0,4015630937
66,66,0,4015630938
67,67,0,4015630939
68,68,0,4015630940
69,69,0,4015630941
70,70,0,4015630942
71,71,0,4015630943
72,72,0,4015630944
73,73,0,4015630945
74,74,0,4015630946
75,75,0,4015630947
76,76,0,4015630948
77,77,0,4015630949
78,78,0,4015630950
79,79,0,4015630951
80,80,0,4015630952
81,81,0,4015630953
82,82,0,4015630954
83,83,0,4015630955
84,84,0,4015630956
85,85,0,4015630957
86,86,0,4015630958
87,87,0,4015630959
88,88,0,4015630960
89,89,0,4015630961
90,90,0,4015630962
91,91,0,4015630963
92,92,0,4015630964
93,93,0,4015630965
94,94,0,4015630966
95,95,0,4015630967
96,96,0,4015630968
97,97,0,4015630969
98,98,0,4015630970
99,99,0,4015630971
100,100,0,4015630972
101,101,0,4015630973
102,102,0,4015630974
103,103,0,4015630975
104,104,0,4015630976
105,105,0,4015630977
106,106,0,4015630978
107,107,0,4015630979
108,108,0,4015630980
109,109,0,4015630981
110,110,0,4015630982
111,111,0,4015630983
112,112,0,4015630984
113,113,0,4015630985
114,114,0,4015630986
115,115,0,4015630987
116,116,0,4015630988
117,117,0,4015630989
118,118,0,4015630990
119,119,0,4015630991
120,120,0,4015630992
121,121,0,4015630993
122,122,0,4015630994
123,123,0,4015630995
124,124,0,4015630996
125,125,0,4015630997
126,126,0,4015630998
127,127,0,4015630999
128,128,0,4015631000
129,129,0,4015631001
130,130,0,4015631002
131,131,0,4015631003
132,132,0,4015631004
133,133,0,4015631005
134,134,0,4015631006
135,135,0,4015631007
136,136,0,4015631008
137,137,0,4015631009
138,138,0,4015631010
139,139,0,4015631011
140,140,0,4015631012
141,141,0,4015631013
142,142,0,4015631014
143,143,0,4015631015
144,144,0,4015631016
145,145,0,4015631017
146,146,0,4015631018
147,147,0,4015631019
148,148,0,4015631020
149,149,0,4015631021
150,150,0,4015631022
151,151,0,4015631023
152,152,0,4015631024
153,153,0,4015631025
154,154,0,4015631026
155,155,0,4015631027
156,156,0,4015631028
157,157,0,4015631029
158,158,0,4015631030
159,159,0,4015631031
160,160,0,4015631032
161,161,0,4015631033
162,162,0,4015631034
163,163,0,4015631035
164,164,0,4015631036
165,165,0,4015631037
166,166,0,4015631038
167,167,0,4015631039
168,168,0,4015631040
169,169,0,4015631041
170,170,0,4015631042
171,171,0,4015631043
172,172,0,4015631044
173,173,0,4015631045
174,174,0,4015631046
175,175,0,4015631047
176,176,0,4015631048
177,177,0,4015631049
178,178,0,4015631050
179,179,0,4015631051
180,180,0,4015631052
181,181,0,4015631053
182,182,0,4015631054
183,183,0,4015631055
184,184,0,4015631056
185,185,0,4015631057
186,186,0,4015631058
187,187,0,4015631059
188,188,0,4015631060
189,189,0,4015631061
190,190,0,4015631062
191,191,0,4015631063
192,192,0,4015631064
193,193,0,4015631065
194,194,0,4015631066
195,195,0,4015631067
196,196,0,4015631068
197,197,0,4015631069
198,198,0,4015631070
199,199,0,4015631071
200,200,0,4015631072
201,201,0,4015631073
202,202,0,4015631074
203,203,0,4015631075
204,204,0,4015631076
205,205,0,4015631077
206,206,0,4015631078
207,207,0,4015631079
208,208,0,4015631080
209,209,0,4015631081
210,210,0,4015631082
211,211,0,4015631083
212,212,0,4015631084
213,213,0,4015631085
214,214,0,4015631086
215,215,0,4015631087
216,216,0,4015631088
217,217,0,4015631089
218,218,0,4015631090
219,219,0,4015631091
220,220,0,4015631092
221,221,0,4015631093
222,222,0,4015631094
223,223,0,4015631095
224,224,0,4015631096
225,225,0,4015631097
226,226,0,4015631098
227,227,0,4015631099
228,228,0,4015631100
229,229,0,4015631101
230,230,0,4015631102
231,231,0,4015631103
232,232,0,4015631104
233,233,0,4015631105
234,234,0,4015631106
235,235,0,4015631107
236,236,0,4015631108
237,237,0,4015631109
238,238,0,4015631110
239,239,0,4015631111
240,240,0,4015631112
241,241,0,4015631113
242,242,0,4015631114
243,243,0,4015631115
244,244,0,4015631116
245,245,0,4015631117
246,246,0,4015631118
247,247,0,4015631119
248,248,0,4015631120
249,249,0,4015631121
250,250,0,4015631122
251,251,0,4015631123
252,252,0,4015631124
253,253,0,4015631125
254,254,0,4015631126
255,255,0,4015631127
256,256,0,4015631128
257,257,0,4015631129
258,258,0,4015631130
259,259,0,4015631131
260,260,0,4015631132
261,261,0,4015631133
262,262,0,4015631134
263,263,0,4015631135
264,264,0,4015631136
265,265,0,4015631137
266,266,0,4015631138
267,267,0,4015631139
268,268,0,4015631140
269,269,0,4015631141
270,270,0,4015631142
271,271,0,4015631143
272,272,0,4015631144
